timestamp,household_id,voltage,usage_kwh,device_status,region
2025-05-01 00:00:00,HH000,229.58,0.249,ON,East
2025-05-01 00:00:00,HH001,226.37,0.208,ON,South
2025-05-01 00:00:00,HH002,231.92,0.005,ON,South
2025-05-01 00:00:00,HH003,230.77,0.106,ON,East
2025-05-01 00:00:00,HH004,232.31,0.072,ON,East
2025-05-01 00:00:00,HH005,230.27,0.165,ON,West
2025-05-01 00:00:00,HH006,224.65,0.303,ON,South
2025-05-01 00:00:00,HH007,234.05,0.135,OFF,East
2025-05-01 00:00:00,HH008,231.21,0.014,OFF,East
2025-05-01 00:00:00,HH009,234.99,0.007,ON,West
2025-05-01 00:10:00,HH000,227.82,0.02,ON,East
2025-05-01 00:10:00,HH001,224.23,0.098,ON,West
2025-05-01 00:10:00,HH002,228.82,0.032,ON,East
2025-05-01 00:10:00,HH003,230.74,0.074,ON,East
2025-05-01 00:10:00,HH004,240.37,0.457,ON,East
2025-05-01 00:10:00,HH005,230.64,0.11,ON,East
2025-05-01 00:10:00,HH006,231.24,0.046,ON,South
2025-05-01 00:10:00,HH007,231.35,0.048,ON,West
2025-05-01 00:10:00,HH008,230.69,0.212,OFF,South
2025-05-01 00:10:00,HH009,227.52,0.156,ON,North
2025-05-01 00:20:00,HH000,233.5,0.568,OFF,East
2025-05-01 00:20:00,HH001,225.5,0.181,ON,South
2025-05-01 00:20:00,HH002,231.49,0.089,OFF,South
2025-05-01 00:20:00,HH003,228.2,0.142,ON,East
2025-05-01 00:20:00,HH004,227.17,0.015,ON,West
2025-05-01 00:20:00,HH005,230.96,0.137,ON,South
2025-05-01 00:20:00,HH006,230.34,0.156,ON,South
2025-05-01 00:20:00,HH007,230.04,0.138,ON,North
2025-05-01 00:20:00,HH008,233.68,0.113,ON,East
2025-05-01 00:20:00,HH009,231.46,0.288,OFF,West
2025-05-01 00:30:00,HH000,228.54,0.414,ON,East
2025-05-01 00:30:00,HH001,231.47,0.07,ON,East
2025-05-01 00:30:00,HH002,234.15,0.171,OFF,North
2025-05-01 00:30:00,HH003,227.42,0.055,ON,West
2025-05-01 00:30:00,HH004,232.92,0.014,OFF,West
2025-05-01 00:30:00,HH005,230.8,0.115,ON,West
2025-05-01 00:30:00,HH006,236.08,0.209,OFF,East
2025-05-01 00:30:00,HH007,229.21,0.061,ON,South
2025-05-01 00:30:00,HH008,226.8,0.069,ON,West
2025-05-01 00:30:00,HH009,231.58,0.11,ON,South
2025-05-01 00:40:00,HH000,227.06,0.193,ON,South
2025-05-01 00:40:00,HH001,232.93,0.034,ON,South
2025-05-01 00:40:00,HH002,231.14,0.584,ON,West
2025-05-01 00:40:00,HH003,238.77,0.277,ON,West
2025-05-01 00:40:00,HH004,232.74,0.265,ON,North
2025-05-01 00:40:00,HH005,230.14,0.332,ON,North
2025-05-01 00:40:00,HH006,229.16,0.614,ON,West
2025-05-01 00:40:00,HH007,227.67,0.333,ON,West
2025-05-01 00:40:00,HH008,232.51,0.198,ON,East
2025-05-01 00:40:00,HH009,227.04,0.39,ON,North
2025-05-01 00:50:00,HH000,227.59,0.604,OFF,West
2025-05-01 00:50:00,HH001,231.76,0.395,ON,North
2025-05-01 00:50:00,HH002,231.08,0.259,OFF,West
2025-05-01 00:50:00,HH003,230.03,0.323,ON,East
2025-05-01 00:50:00,HH004,227.22,0.065,ON,North
2025-05-01 00:50:00,HH005,229.82,0.193,ON,South
2025-05-01 00:50:00,HH006,224.08,0.074,ON,North
2025-05-01 00:50:00,HH007,231.86,0.554,ON,East
2025-05-01 00:50:00,HH008,230.23,0.064,ON,North
2025-05-01 00:50:00,HH009,227.96,0.028,ON,West
2025-05-01 01:00:00,HH000,230.0,0.823,ON,North
2025-05-01 01:00:00,HH001,232.79,0.176,ON,South
2025-05-01 01:00:00,HH002,232.16,0.821,ON,East
2025-05-01 01:00:00,HH003,228.21,0.234,ON,East
2025-05-01 01:00:00,HH004,229.89,0.377,ON,East
2025-05-01 01:00:00,HH005,225.13,0.079,ON,North
2025-05-01 01:00:00,HH006,227.43,0.148,ON,South
2025-05-01 01:00:00,HH007,228.68,0.65,ON,East
2025-05-01 01:00:00,HH008,231.11,0.779,ON,South
2025-05-01 01:00:00,HH009,226.37,0.022,ON,North
